idx,company,website,tax1,tax2,tax3,city,notes,address,lat,lng
123,Advokatfirmaet Kyhn-Hansen,http://www.kyhnlaw.dk/,Law,Consulting,Professional Services,Esbjerg,"Wind Energy; Oil and Gas, Other","Kongensgade 3, Esbjerg 6700",55.46564,8.456298
124,Acurail Aps,http://acurail.dk,Geology,Built Environment/Construction,Oil and Gas,Esbjerg,"Wind Energy; Oil and Gas, Other","Havnegade 62, 2.sal, Esbjerg 6700",55.46583,8.443564
125,PolyTech,https://poly-tech.dk/,Engineering,Manufacturing,Insurance,Bramming,Wind turbine products,"Industrivej 37, Bramming 6740",55.46627,8.678211
126,SubC Partner,https://subcpartner.com,Consulting,Professional Services,,Esbjerg,Offshore wind solutions,"Kogade 1A, Esbjerg 6700",55.46666,8.438051
127,LICengineering A/S,http://www.liceng.dk,Engineering,Consulting,Evaluation/Compliance,Esbjerg,Wind Energy; Oil and Gas,"Kirkegade 25, Esbjerg 6700",55.46733,8.449374
128,Vlab Wind ApS,http://vlabwind.com/,Wind,Consulting,Engineering,Esbjerg,Wind Energy,"Skolegade 85, Esbjerg 6700",55.46797,8.442987
129,BBC Chartering GmbH,https://www.bbc-chartering.com/,Mobility as a Service,Professional Services,,Esbjerg,Wind Energy; Oil and Gas,"Trafikhavnskaj 7, Esbjerg 6700",55.46851,8.434304
130,Blue Water Shipping,http://www.bws.dk,Mobility as a Service,Oil and Gas,Wind,Esbjerg,Wind Energy; Oil and Gas,"Trafikhavnskaj 9, Esbjerg 6700",55.46874,8.433726
131,Geemit ApS,https://www.geemit.com,Professional Services,Consulting,,Esbjerg,Wind Energy; Oil and Gas,"Trafikhavnskaj 15, Esbjerg 6700",55.47038,8.431884
132,Ocean Team Windcare,https://www.oceanteam.eu/products-services/wind/,Wind,Professional Services,,Esbjerg,Off-and offshore wind turbines,"Vesterhavsgade 56, Esbjerg 6700",55.47058,8.434799
133,FOGA ApS,http://www.foga.dk,Consulting,Professional Services,,Esbjerg V.,Wind Energy consulting services,"Trafikhavnskaj 19, Esbjerg V. 6700",55.47188,8.430051
134,Sky Level,http://www.skylevel.dk,IoT/IIoT,Professional Services,,Odense N,Wind Energy operation & maintenance,"Lufthavnvej 151, Odense N 5270",55.472,10.33053
135,UAS Denmark,https://www.uasdenmark.dk/,IoT/IIoT,Enabling Technologies/Components,,Odense,Wind Energy; Oil and gas,"Lufthavnvej 151, Odense 5270",55.472,10.33053
136,Real Safety,https://realsafety.dk/,Professional Services,Evaluation/Compliance,Materials,Esbjerg,Wind Energy; Oil and Gas,"Auktionsgade 5, Esbjerg 6700",55.47228,8.427397
137,Esbjerg Kommune,http://www.esbjerg.dk,Professional Services,Consulting,,Esbjerg,Wind Energy; Oil ang Gas; Other; Integration of Renewables; Energy Storage,"Rådhuset, Esbjerg 6700",55.47244,8.452972
138,ARBEJDSMILJØEksperten A/S,http://www.ameksperten.dk,Consulting,Academia/Research,,Esbjerg,Wind Energy; Oil and Gas,"Auktionsgade 3, Esbjerg 6700",55.4725,8.428445
139,Business Connect,http://www.business-connect.dk,Consulting,Professional Services,,Esbjerg V,Wind Energy consulting services,"Helgolandsgade 22, 1. sal, Esbjerg V 6710",55.47355,8.433399
140,Horn Group,https://climawintech.com,Built Environment/Construction,Energy Efficiency,,Lunderskov,Fresh air without heat loss,"Sortebjergvej 2, Lunderskov 6640",55.473689,9.28874
141,ASATech ApS,http://www.asatech.dk/,Enabling Technologies/Components,Professional Services,,Vejen,"Wind Energy; Oil and Gas, Other","Park Alle 26, Vejen 6600",55.47379,9.158114
142,Clobotics,https://clobotics.com,IoT/IIoT,Marketing,Wind,Esbjerg,Wind power inspection; autonomous drones and AI,"Fiskerihavnsgade 9, Esbjerg 6700",55.47406,8.426897
143,Finetune ApS,http://finetune.dk/,Wind,IoT/IIoT,Enabling Technologies/Components,Esbjerg,Wind Energy,"Fiskerihavnsgade 4, Esbjerg 6700",55.47477,8.425807
144,DESITEK,http://www.desitek.dk/,Solar,Storage,Utility/Grid,Søndersø,Wind Energy Product Supplier,"Sunekær 8, Søndersø 5471",55.47481,10.25418
145,Seacabin A/S,http://seacabin.dk/,Engineering,Consulting,,Esbjerg,Wind Energy; Oil and Gas,"Fiskebrogade 8, Esbjerg 6700",55.475,8.432266
146,Mati2ilt,http://www.mati2ilt.com,Wave/Water/Hydro,Evaluation/Compliance,,Esbjerg,Oil and Gas,"Torskekaj 1, 3. sal, Esbjerg 6700",55.47507,8.419865
147,Shoreline AS,http://www.shoreline.no,Wind,Professional Services,Engineering,Esbjerg,Wind Energy operation & maintenance,"Torskekaj 1, Esbjerg 6700",55.47507,8.419865
148,World Marine Offshore,http://www.wm-offshore.com,Mobility as a Service,,,Esbjerg,"Wind Energy; Oil and Gas, Other","Torskekaj 1, Esbjerg 6700",55.47507,8.419865
149,CSK Group,https://cskgroup.dk/,IoT/IIoT,Wind,Oil and Gas,Esbjerg,Wind Energy; Oil and Gas,"Torskekaj 1, Esbjerg 6700",55.47523,8.419951
150,Qubiqa BioEnergy,https://qubiqa.com,Energy Systems/Management,Professional Services,,Esbjerg,Logistics solutions for biomass and fuel,"Morsøgade 10, Esbjerg 6700",55.47612,8.430939
